Course Number,Course Name,Days,Time,Start/End Date,Location,County,Course Type,Course Description,Status of Section,Book Link
BCA  120  05,Intro to Computer Applications,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BCA 120 Introduction to Computer Applications 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This is an introductory computer course that is structured to familiarize the student with usage of computers as a tool for business and industry. Taking a hands-on approach, students will become skilled in the use of Windows XP and Microsoft Office. These competencies include the operation of word processing, spreadsheets, database and presentation software. All learning will be in a lab environment where students will directly apply instructions using individual computers. Prerequisite: Students should be familiar with basic mouse and keyboard operation prior to registration.",OPEN,Link
BCA  120  06,Intro to Computer Applications,,-,09/02/2025 - 10/24/2025,Online,Online,Online,"BCA 120 Introduction to Computer Applications 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This is an introductory computer course that is structured to familiarize the student with usage of computers as a tool for business and industry. Taking a hands-on approach, students will become skilled in the use of Windows XP and Microsoft Office. These competencies include the operation of word processing, spreadsheets, database and presentation software. All learning will be in a lab environment where students will directly apply instructions using individual computers. Prerequisite: Students should be familiar with basic mouse and keyboard operation prior to registration.",OPEN,Link
BCA  120  07,Intro to Computer Applications,,-,10/27/2025 - 12/19/2025,Online,Online,Online,"BCA 120 Introduction to Computer Applications 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This is an introductory computer course that is structured to familiarize the student with usage of computers as a tool for business and industry. Taking a hands-on approach, students will become skilled in the use of Windows XP and Microsoft Office. These competencies include the operation of word processing, spreadsheets, database and presentation software. All learning will be in a lab environment where students will directly apply instructions using individual computers. Prerequisite: Students should be familiar with basic mouse and keyboard operation prior to registration.",OPEN,Link
BCA  241  01,Spreadsheets,Mon Wed,12:30 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCA 241 Spreadsheets 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is intended to instruct beginning and entry level students in the fundamentals of spreadsheet operations using Microsoft Excel.  It will expose them to basic spreadsheet concepts as well as many of the more sophisticated functions which enhance spreadsheet utilization, improve functionality and increase a wide variety of applications for spreadsheet analysis. Students registering for this course should already have basic keyboarding skills and knowledge of PC operations.",OPEN,Link
BCA  241  02,Spreadsheets,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BCA 241 Spreadsheets 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is intended to instruct beginning and entry level students in the fundamentals of spreadsheet operations using Microsoft Excel.  It will expose them to basic spreadsheet concepts as well as many of the more sophisticated functions which enhance spreadsheet utilization, improve functionality and increase a wide variety of applications for spreadsheet analysis. Students registering for this course should already have basic keyboarding skills and knowledge of PC operations.",OPEN,Link
BCA  241  03,Spreadsheets,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BCA 241 Spreadsheets 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is intended to instruct beginning and entry level students in the fundamentals of spreadsheet operations using Microsoft Excel.  It will expose them to basic spreadsheet concepts as well as many of the more sophisticated functions which enhance spreadsheet utilization, improve functionality and increase a wide variety of applications for spreadsheet analysis. Students registering for this course should already have basic keyboarding skills and knowledge of PC operations.",OPEN,Link
BCA  241  04,Spreadsheets,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BCA 241 Spreadsheets 3 Credits (3 Lecture 0 Lab 0 Shop) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This course is intended to instruct beginning and entry level students in the fundamentals of spreadsheet operations using Microsoft Excel.  It will expose them to basic spreadsheet concepts as well as many of the more sophisticated functions which enhance spreadsheet utilization, improve functionality and increase a wide variety of applications for spreadsheet analysis. Students registering for this course should already have basic keyboarding skills and knowledge of PC operations.",OPEN,Link
BCT  101  01,Intro to Hand & Power Tool Safety,Mon Wed,8:00 AM - 4:25 PM,09/02/2025 - 09/08/2025,Auburn Campus,Androscoggin,Classroom,BCT 101 Introduction to Hand and Power Tool Safety 1 Credit (.25 Lecture 0 Lab .75 Shop) 19 Hrs/Wk (2 Hr. Lecture 17 Hrs. Shop) *2 wks This course introduces students to safety procedures used for hand and stationary power tools. Students will demonstrate their understanding by constructing a saw horse from a provided drawing.,OPEN,Link
BCT  101  01,Intro to Hand & Power Tool Safety,Fri,8:00 AM - 11:55 AM,09/02/2025 - 09/08/2025,Auburn Campus,Androscoggin,Classroom,BCT 101 Introduction to Hand and Power Tool Safety 1 Credit (.25 Lecture 0 Lab .75 Shop) 19 Hrs/Wk (2 Hr. Lecture 17 Hrs. Shop) *2 wks This course introduces students to safety procedures used for hand and stationary power tools. Students will demonstrate their understanding by constructing a saw horse from a provided drawing.,OPEN,Link
BCT  101  02,Intro to Hand & Power Tool Safety,Mon Wed,8:00 AM - 4:25 PM,09/02/2025 - 09/08/2025,Auburn Campus,Androscoggin,Classroom,BCT 101 Introduction to Hand and Power Tool Safety 1 Credit (.25 Lecture 0 Lab .75 Shop) 19 Hrs/Wk (2 Hr. Lecture 17 Hrs. Shop) *2 wks This course introduces students to safety procedures used for hand and stationary power tools. Students will demonstrate their understanding by constructing a saw horse from a provided drawing.,OPEN,Link
BCT  101  02,Intro to Hand & Power Tool Safety,Fri,8:00 AM - 11:55 AM,09/02/2025 - 09/08/2025,Auburn Campus,Androscoggin,Classroom,BCT 101 Introduction to Hand and Power Tool Safety 1 Credit (.25 Lecture 0 Lab .75 Shop) 19 Hrs/Wk (2 Hr. Lecture 17 Hrs. Shop) *2 wks This course introduces students to safety procedures used for hand and stationary power tools. Students will demonstrate their understanding by constructing a saw horse from a provided drawing.,OPEN,Link
BCT  101  03,Intro to Hand & Power Tool Safety,Mon Wed,8:00 AM - 4:25 PM,09/02/2025 - 09/08/2025,Auburn Campus,Androscoggin,Classroom,BCT 101 Introduction to Hand and Power Tool Safety 1 Credit (.25 Lecture 0 Lab .75 Shop) 19 Hrs/Wk (2 Hr. Lecture 17 Hrs. Shop) *2 wks This course introduces students to safety procedures used for hand and stationary power tools. Students will demonstrate their understanding by constructing a saw horse from a provided drawing.,OPEN,Link
BCT  101  03,Intro to Hand & Power Tool Safety,Fri,8:00 AM - 11:55 AM,09/02/2025 - 09/08/2025,Auburn Campus,Androscoggin,Classroom,BCT 101 Introduction to Hand and Power Tool Safety 1 Credit (.25 Lecture 0 Lab .75 Shop) 19 Hrs/Wk (2 Hr. Lecture 17 Hrs. Shop) *2 wks This course introduces students to safety procedures used for hand and stationary power tools. Students will demonstrate their understanding by constructing a saw horse from a provided drawing.,OPEN,Link
BCT  126  01,Construction Site Surveying,Thur,9:00 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 126 Construction Site Surveying 2 Credits (1 Lecture 1 Lab 0 shop) 3 Hrs/Wk (1 Hr. Lecture 2 Hrs. Lab) *15 wks Students are introduced to preliminary site development using basic zoning, code, and deed descriptions as they relate to a site plan. Construction site surveying is introduced through the demonstrated use of surveying transits, builder’s level, and associated equipment applied directly to Residential Construction.",OPEN,Link
BCT  126  02,Construction Site Surveying,Thur,1:00 PM - 3:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 126 Construction Site Surveying 2 Credits (1 Lecture 1 Lab 0 shop) 3 Hrs/Wk (1 Hr. Lecture 2 Hrs. Lab) *15 wks Students are introduced to preliminary site development using basic zoning, code, and deed descriptions as they relate to a site plan. Construction site surveying is introduced through the demonstrated use of surveying transits, builder’s level, and associated equipment applied directly to Residential Construction.",OPEN,Link
BCT  142  01,Building Concepts I,Mon Wed,8:00 AM - 4:55 PM,09/10/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"BCT 142 Building Concepts I 3 Credits (1.5 Lecture, 0 Lab, 1.5 Shop) 16 Hrs/Wk (4 Hrs. Lecture,  12 Hours Shop) 5.5 Wks This is the first in a series of courses designed to teach the student the fundamental principles Residential and Light Commercial construction are based upon. Theory of basic concepts such as straight, level, plumb, and square are covered in the classroom as well as through practical hands-on projects. Basic foundation and floor framing theory and techniques will be addressed. Corequisite: BCT 101 Intro to Hand & Power Tool Safety or Dept. Chair approval",OPEN,Link
BCT  142  02,Building Concepts I,Mon Wed,8:00 AM - 4:55 PM,09/10/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"BCT 142 Building Concepts I 3 Credits (1.5 Lecture, 0 Lab, 1.5 Shop) 16 Hrs/Wk (4 Hrs. Lecture,  12 Hours Shop) 5.5 Wks This is the first in a series of courses designed to teach the student the fundamental principles Residential and Light Commercial construction are based upon. Theory of basic concepts such as straight, level, plumb, and square are covered in the classroom as well as through practical hands-on projects. Basic foundation and floor framing theory and techniques will be addressed. Corequisite: BCT 101 Intro to Hand & Power Tool Safety or Dept. Chair approval",OPEN,Link
BCT  142  03,Building Concepts I,Mon Wed,8:00 AM - 4:55 PM,09/10/2025 - 10/24/2025,Auburn Campus,Androscoggin,Classroom,"BCT 142 Building Concepts I 3 Credits (1.5 Lecture, 0 Lab, 1.5 Shop) 16 Hrs/Wk (4 Hrs. Lecture,  12 Hours Shop) 5.5 Wks This is the first in a series of courses designed to teach the student the fundamental principles Residential and Light Commercial construction are based upon. Theory of basic concepts such as straight, level, plumb, and square are covered in the classroom as well as through practical hands-on projects. Basic foundation and floor framing theory and techniques will be addressed. Corequisite: BCT 101 Intro to Hand & Power Tool Safety or Dept. Chair approval",OPEN,Link
BCT  143  01,Building Concepts II,Mon Wed,8:00 AM - 3:55 PM,10/27/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 143 Building Concepts II 3 Credits (1 Lecture, 0 Lab, 2 Shop) 14Hrs/Wk (2 Hrs. Lecture,  12 Hours Shop) 7.5 Wks This course builds upon BCT 142 Building Concepts I.  While reinforcing the basic fundamentals learned, the depth and scopte of these basic concepts will be expanded.  Through construction projects and moci-ups, students will demonstrate new learning based on basic construction fundamentals while being introduced to basic project management principles.  Prerequisite:  BCT 142 Building Concepts I or Dept. Chair Approval.",OPEN,Link
BCT  143  02,Building Concepts II,Mon Wed,8:00 AM - 3:55 PM,10/27/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 143 Building Concepts II 3 Credits (1 Lecture, 0 Lab, 2 Shop) 14Hrs/Wk (2 Hrs. Lecture,  12 Hours Shop) 7.5 Wks This course builds upon BCT 142 Building Concepts I.  While reinforcing the basic fundamentals learned, the depth and scopte of these basic concepts will be expanded.  Through construction projects and moci-ups, students will demonstrate new learning based on basic construction fundamentals while being introduced to basic project management principles.  Prerequisite:  BCT 142 Building Concepts I or Dept. Chair Approval.",OPEN,Link
BCT  143  03,Building Concepts II,Mon Wed,8:00 AM - 3:55 PM,10/27/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 143 Building Concepts II 3 Credits (1 Lecture, 0 Lab, 2 Shop) 14Hrs/Wk (2 Hrs. Lecture,  12 Hours Shop) 7.5 Wks This course builds upon BCT 142 Building Concepts I.  While reinforcing the basic fundamentals learned, the depth and scopte of these basic concepts will be expanded.  Through construction projects and moci-ups, students will demonstrate new learning based on basic construction fundamentals while being introduced to basic project management principles.  Prerequisite:  BCT 142 Building Concepts I or Dept. Chair Approval.",OPEN,Link
BCT  152  01,Construction Document Reading and,Thur,5:00 PM - 7:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 152 Construction Document Reading and Cost Estimating (3 Lecture, 0 Lab, 0 Shop) 3 Hrs/Wk (3 Hrs Lecture) *15 Wks Students will be introduced to documents related to residential construction, including Construction Drawings, Specifications, Schedules, and Contracts.  The vocabulary of lines will be emphasized, including object lines, extension lines, dimension lines, and hidden lines along with the basic use of a scale rule. Students will generate a competitive Cost Analysis of a residential home from a set of construction plans, using Microsoft Excel spreadsheet software as a primary tool.  Material and labor will be calculated based on standard estimating procedures and building practices specific to this region.  A Bid Summary will be prepared taking into account materials, labor, sub-contractor costs, overhead, and profit.  Students will be exposed to minimum legal and contractual requirements in the State of Maine, the Maine Uniform Building and Energy Code (MUBEC), DigSafe, and OSHA.  Course Prerequisites:  BCT 145 or Dept. Chair Approval",OPEN,Link
BCT  200  01,Structural Analysis I,Tue Thur,1:00 PM - 3:55 PM,10/27/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 200 Structural Analysis I 3 Credits (3 Lecture 0 Lab 0 Shop) 6 Hrs/Wk ( 6 Hr. Lecture, 0 Hrs. Shop) *7.5 wks This course will demonstrate the effect improper building practices have on the structural integrity of a home and teach students to recognize structural load path transfer from roof to footing.  Building course outcomes around these two focal points will give students the knowledge and understanding to make critical construction decisions allowing them to apply best building practices.  We are an unlicensed trade in the State of Maine.  While many building practices are obviously correct or obviously deficient, this course will illustrate the differences and consequences of improper building practices.  Students will immediately apply this knowledge in their remaining field experiences.  Prerequisite: Enrolled in Jobsite Track program or Dept. Chair Approval.",OPEN,Link
BCT  205  01,Interior Finish I,Tue,8:00 AM - 3:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 205 Interior Finish I 5 Credits (2 Lecture 0 Lab 3 Shop) 11Hrs/Wk ( 2 Hr. Lecture, 9 Hrs. Shop) *15 wks In this course students will learn about the major finish components of a residential home.  Through a combination of mock-up and live work, students will experience the proper millwork and instruction of interior finish such as: door / window installation, extension jambs, casing, profiled baseboard, crown moldings, drywall preparation and installation, router use, and basic scribing / coping techniques.  Prerequisite: BCT 145 or Dept. Chair",OPEN,Link
BCT  205  01,Interior Finish I,Thur,8:00 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 205 Interior Finish I 5 Credits (2 Lecture 0 Lab 3 Shop) 11Hrs/Wk ( 2 Hr. Lecture, 9 Hrs. Shop) *15 wks In this course students will learn about the major finish components of a residential home.  Through a combination of mock-up and live work, students will experience the proper millwork and instruction of interior finish such as: door / window installation, extension jambs, casing, profiled baseboard, crown moldings, drywall preparation and installation, router use, and basic scribing / coping techniques.  Prerequisite: BCT 145 or Dept. Chair",OPEN,Link
BCT  205  02,Interior Finish I,Tue,8:00 AM - 3:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 205 Interior Finish I 5 Credits (2 Lecture 0 Lab 3 Shop) 11Hrs/Wk ( 2 Hr. Lecture, 9 Hrs. Shop) *15 wks In this course students will learn about the major finish components of a residential home.  Through a combination of mock-up and live work, students will experience the proper millwork and instruction of interior finish such as: door / window installation, extension jambs, casing, profiled baseboard, crown moldings, drywall preparation and installation, router use, and basic scribing / coping techniques.  Prerequisite: BCT 145 or Dept. Chair",OPEN,Link
BCT  205  02,Interior Finish I,Thur,8:00 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BCT 205 Interior Finish I 5 Credits (2 Lecture 0 Lab 3 Shop) 11Hrs/Wk ( 2 Hr. Lecture, 9 Hrs. Shop) *15 wks In this course students will learn about the major finish components of a residential home.  Through a combination of mock-up and live work, students will experience the proper millwork and instruction of interior finish such as: door / window installation, extension jambs, casing, profiled baseboard, crown moldings, drywall preparation and installation, router use, and basic scribing / coping techniques.  Prerequisite: BCT 145 or Dept. Chair",OPEN,Link
BCT  285  01,BCT Field Experience III,Mon Tue Wed Thur Fri,8:00 AM - 4:55 PM,09/02/2025 - 10/24/2025,n/a,Off Campus,Classroom,"BCT 285 Field Experience III 4 Credits (0 Lecture, 0 Lab, 4 Externship) Projected externship hours 280 minimum *8 wks In this course, the student works on the job site / shop of a sponsoring construction company. This hands-on training, under the direction and supervision of an experienced supervisor, reinforces the subjects learned in the first semester BCT core curriculum and previous Field Experience.  Prerequisites: Department chairperson approval and a minimum 2.0 GPA in BCT 186 Field Experience II, Construction company or independent contractor sponsor and valid driver’s license required.",OPEN,Link
BIO  100  01,Life Sciences Seminar,Tue,11:00 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,"BIO 100 Life Sciences Seminar 1 Credit (1 Lecture 0 Lab 0 Shop) 1 Hr/Wk (1 Hr. Lecture) *15 wks This course explores the variety of careers available in the field of life sciences.  It is designed to provide students with an opportunity to acquire the skills to succeed within the discipline of science. Topics include using campus resources, exploring career opportunities, creating an education plan, conducting research, and developing strategies to improve study skills, critical thinking skills, and other self-directed learning tools by participating in classroom exercises.",OPEN,Link
BIO  101  01,Intro to General Biology Lecture,Mon,12:30 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Hybrid,"****NOTE: Meets in person every Monday from 12:30 p.m. to 1:55 p.m.**** BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism, reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  01,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Hybrid,"****NOTE: Meets in person every Monday from 12:30 p.m. to 1:55 p.m.**** BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism, reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  02,Intro to General Biology Lecture,Wed,12:30 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Hybrid,"****NOTE: Meets in person every Wednesday from 12:30 p.m. to 1:55 p.m.**** BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  02,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Hybrid,"****NOTE: Meets in person every Wednesday from 12:30 p.m. to 1:55 p.m.**** BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  03,Intro to General Biology Lecture,Thur,2:00 PM - 3:25 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Hybrid,"BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  03,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Hybrid,"BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  04,Intro to General Biology Lecture,Mon,3:30 PM - 4:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Hybrid,"****NOTE: Meets in person every Monday from 3:30 p.m. to 4:55 p.m.**** BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  04,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Hybrid,"****NOTE: Meets in person every Monday from 3:30 p.m. to 4:55 p.m.**** BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  05,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  06,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  07,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  101  08,Intro to General Biology Lecture,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BIO 101 Introduction to General Biology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the chemical and physical nature of biological processes intended for students who do not plan to major in biological science. Cell structure, metabolism,  reproduction, inheritance, and evolution are examined in lecture and laboratory using a wide variety of plants and animals as examples and experimental models.",OPEN,Link
BIO  102  01,Intro General Biology Lab,Mon,10:00 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  02,Intro General Biology Lab,Wed,10:00 AM - 11:55 AM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  03,Intro General Biology Lab,Mon,6:00 PM - 7:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  04,Intro General Biology Lab,Tue,12:00 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Classroom,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  05,Intro General Biology Lab,,-,09/02/2025 - 12/19/2025,Online,Online,Online,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  06,Intro General Biology Lab,,-,09/02/2025 - 12/19/2025,Online,Online,Online,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  07,Intro General Biology Lab,,-,09/02/2025 - 12/19/2025,Online,Online,Online,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  102  08,Intro General Biology Lab,,-,09/02/2025 - 12/19/2025,Online,Online,Online,BIO 102 Introduction to General Biology 1 Credit (0 Lecture 1 Lab 0 clinical) 2 Hrs/Wk (2 Hrs. Lab) *15 wks Laboratory experiments designed to support the topics covered in BIO 101. Co-requisite: BIO 101.,OPEN,Link
BIO  104  01,Health and Wellness,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BIO 104 Health and Wellness 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks An introduction to the lifestyle skills that lead to better health. Course will include an overview of concepts involving the many aspects of health.  Topics that will be covered include lifestyle choices and health, physical fitness, nutrition, weight management, stress management and emotional health, healthy aging, addictions, environmental health and complementary and alternative medicine. Students will participate in various activities including journaling and behavior assessments to help develop personalized lifestyle plans to improve overall health.",OPEN,Link
BIO  105  01,Essentials of Human A and P,,-,09/02/2025 - 12/19/2025,Online,Online,Online,"BIO 105 Essentials of Human Anatomy and Physiology 3 Credits (3 Lecture 0 Lab 0 Clinical) 3 Hrs/Wk (3 Hrs. Lecture) *15 wks This one semester course is designed to provide the student with rudimentary knowledge of human anatomy and physiology. This is a non-laboratory course that will cover the chemical basis of life, basic cell and tissue structure and all of the organ systems of the human body.  Note: This course does not satisfy the requirements for programs such as nursing, clinical lab science, or radiological technology. Prerequisites: BIO 101/102 with a C or higher.",OPEN,Link
BIO  110  01,Fundamentals of Environ Sci Lecture,Tue,12:30 PM - 1:55 PM,09/02/2025 - 12/19/2025,Auburn Campus,Androscoggin,Hybrid,"****NOTE: Meets on campus every Tuesdays from 12:30 p.m. to 1:55 p.m.**** BIO 110 Fundamentals of Environmental Science Lecture 3 Credit ( 3 Lecture, 0 Lab, 0 Shop) 3 Hrs/Week ( 3 Hours Lecture) * 15 weeks This course is designed to provide students with a sound foundation in basic principles and unifying concepts of Environmental Science.  Topic selection is based on major themes of modern environmental sciences: humans and sustainability; science and ecological principles; sustaining biodiversity and natural resources; and sustaining environmental quality and human societies.  This course will study the interaction and relationship between humans and the environment.  Students will gain an awareness of the importance of Earth's systems in sustaining our daily lives, plus the scientific foundation and tools needed to apply critical thought to contemporary environmental issues.  The course is intended for both science and non-science majors.  Corequisite:  BIO 111",OPEN,Link
